,Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_Beverages,Inflight_Entertainment,Ground_Service,Wifi_Connectivity,Value_For_Money,Recommended
0,,Solo Leisure,Economy Class,Valencia to Bangkok via Istanbul,December 2023,1,1,2,,3,,1,no
1,,Solo Leisure,Economy Class,Panama to Bangkok via Miami,December 2022,1,1,1,1,1,1,1,no
2,A350,Family Leisure,Economy Class,Atlanta to Bangkok,November 2023,3,5,5,5,1,,4,yes
3,Boeing 747,Solo Leisure,Economy Class,Seattle to Entebbe via Istanbul,November 2023,1,1,1,1,1,,1,no
4,,Solo Leisure,First Class,Antalia to Istanbul via Минск,November 2023,2,4,2,2,2,1,1,no
5,,Couple Leisure,Economy Class,Istanbul to London,November 2023,3,3,2,2,2,2,1,no
6,,Family Leisure,Economy Class,Havana to Istanbul,November 2023,,,,,1,,1,no
7,,Family Leisure,Economy Class,Zurich to Singapore via Istanbul,November 2023,,,,,1,,1,no
8,,Couple Leisure,Economy Class,Istanbul to Thessaloniki,November 2023,1,1,2,3,1,1,1,no
9,,Family Leisure,Economy Class,Istanbul to Tashkent,August 2023,,,,,1,,2,no
10,,Solo Leisure,Economy Class,Amsterdam to Aqaba via Istanbul,July 2023,1,1,1,2,1,1,1,no
11,,Family Leisure,Economy Class,,November 2023,3,1,2,1,4,,5,no
12,,Couple Leisure,Economy Class,London to Amman via Istanbul,November 2023,3,4,5,3,1,3,2,no
13,,Solo Leisure,Economy Class,Bucharest to Istanbul,November 2023,2,3,3,1,1,,1,no
14,,Family Leisure,Economy Class,Vancouver to Tehran via Istanbul,November 2023,3,4,3,4,1,5,1,no
15,,Couple Leisure,Economy Class,Singapore to Istanbul,December 2022,4,4,4,4,4,,1,no
16,,Solo Leisure,Economy Class,İstanbul to Berlin,November 2023,4,5,5,5,5,4,5,yes
17,A350-900,Solo Leisure,Business Class,Istanbul to Montreal,November 2023,3,5,2,5,2,5,1,yes
18,,Couple Leisure,Economy Class,Istanbul to Dubai,November 2023,3,1,3,1,4,4,4,no
19,Boeing 737-800,Family Leisure,Economy Class,Izmir to Seattle via Istanbul,November 2023,1,1,1,1,1,1,1,no
20,A321,Solo Leisure,Business Class,Ankara to Istanbul,November 2023,2,5,2,,4,,4,yes
21,A330-300,Solo Leisure,Business Class,Montreal to Istanbul,October 2023,2,5,5,4,5,5,5,yes
22,A350,Solo Leisure,Business Class,Singapore to Istanbul,October 2023,5,4,5,4,5,5,4,yes
23,,Couple Leisure,Business Class,San Francisco to Tehran,October 2023,3,3,3,3,1,1,1,no
24,,Family Leisure,Business Class,Kuala Lumpur to London via Istanbul,October 2023,3,3,,,1,,1,no
25,,Solo Leisure,Economy Class,Pristina to Doha via Istanbul,October 2023,2,2,2,,1,1,1,no
26,,Solo Leisure,Economy Class,Washington to Bucharest via Istanbul,October 2023,2,3,3,3,1,1,1,no
27,,Family Leisure,Economy Class,Baku to Stuttgart via Istanbul,October 2023,5,5,5,,5,,5,yes
28,,Couple Leisure,Economy Class,Kuala Lumpur to Istanbul,October 2023,1,1,1,1,1,1,1,no
29,,Solo Leisure,Business Class,Oslo to Bangkok via Istanbul,October 2023,5,5,5,5,5,5,5,yes
30,,Couple Leisure,Economy Class,Sofia to Istanbul,September 2023,1,1,3,1,4,3,3,no
31,Airbus,Couple Leisure,Economy Class,London Heathrow to Singapore via Istanbul,October 2023,1,1,1,1,1,,1,no
32,Boeing 789,Business,Business Class,Zurich to Narita via Istanbul,October 2023,5,5,5,5,5,5,5,yes
33,,Solo Leisure,Economy Class,Los Angeles to Belgrade,October 2023,1,1,,,1,,1,no
34,,Family Leisure,Economy Class,Dusseldorf to Ankara,June 2023,3,1,2,,1,,1,no
35,Boeing 787,Business,Economy Class,Berlin to Dallas via Istanbul,October 2023,1,2,2,2,1,1,1,no
36,Boeing 777,Couple Leisure,Economy Class,Athens to Dubai via Istanbul,October 2023,1,1,1,1,1,1,1,no
37,,Solo Leisure,Economy Class,Dallas to Istanbul,October 2023,,,,,1,,1,no
38,,Solo Leisure,Economy Class,Munich to Kuala Lumpur via Istanbul,October 2023,1,3,1,3,1,,1,no
39,,Couple Leisure,Economy Class,Istanbul to Munich,September 2023,1,1,1,,1,,1,no
40,,Solo Leisure,Economy Class,Frankfurt to Beirut,October 2023,1,1,1,1,1,1,1,no
41,,Couple Leisure,Economy Class,Los Angeles to Kilimanjaro via Istanbul,August 2023,1,2,1,1,1,,1,no
42,,Business,Business Class,Istanbul to Mumbai,September 2023,4,5,3,5,3,,3,yes
43,,Solo Leisure,Economy Class,Istanbul to Toronto,September 2023,4,5,,,4,,3,no
44,,Family Leisure,Economy Class,Istanbul to Chicago,October 2023,2,2,2,3,1,,1,no
45,,Family Leisure,Economy Class,Geneva to Antalya via Istanbul,September 2023,2,2,,1,1,1,1,yes
46,,Family Leisure,Economy Class,Dusseldorf to Riyadh via Istanbul,September 2023,4,4,1,1,1,1,1,no
47,Boeing 777,Couple Leisure,Business Class,Los Angeles to Istanbul,June 2023,1,2,2,2,1,1,1,no
48,A350-900,Business,Business Class,Jakarta to Istanbul,September 2023,5,5,5,5,5,5,5,yes
49,,Solo Leisure,Economy Class,Tbilisi to Munich via Istanbul,September 2023,5,4,5,5,4,,4,yes
